"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",36185145,10000,10,100,2,1,0,0.9946,0.992712152252648,0.996487847747353,0.9993,0.998781614273345,0.999818385726655,0.9998,0.999567385133966,1.00003261486603,9998,9993,9946
"CVM","Exp",81979560,10000,10,100,2,0.5,0,0.8169,0.80693735904804,0.82686264095196,0.9275,0.922417445622524,0.932582554377476,0.9619,0.958750849963089,0.965049150036911,9619,9275,8169
"CVM","Exp",502507,10000,10,100,2,0.25,0,0.3466,0.334341150792552,0.358858849207448,0.5599,0.550170579149898,0.569629420850102,0.6746,0.666892778419489,0.682307221580511,6746,5599,3466
"CVM","Exp",45248165,10000,10,100,2,0.125,0,0.0995,0.0917892032146088,0.107210796785391,0.237,0.22866525123594,0.24533474876406,0.3383,0.330516992149639,0.346083007850361,3383,2370,995
"CVM","Exp",26838,10000,10,100,2.5,1,0,0.999,0.99818580467798,0.99981419532202,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9990
"CVM","Exp",846546,10000,10,100,2.5,0.5,0,0.9239,0.917069528703881,0.930730471296119,0.9781,0.975231401557833,0.980968598442166,0.9905,0.988904286405906,0.992095713594094,9905,9781,9239
"CVM","Exp",878321,10000,10,100,2.5,0.25,0,0.5041,0.491220433032879,0.516979566967121,0.7071,0.69818017824761,0.716019821752389,0.7992,0.792610150531734,0.805789849468266,7992,7071,5041
"CVM","Exp",4082271,10000,10,100,2.5,0.125,0,0.1552,0.145872426718289,0.164527573281711,0.3288,0.319592368082422,0.338007631917578,0.435,0.426844797400585,0.443155202599415,4350,3288,1552
"CVM","Exp",623063,10000,10,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",129843150,10000,10,100,5,0.5,0,0.9991,0.998327547838281,0.999872452161719,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9991
"CVM","Exp",7511265,10000,10,100,5,0.25,0,0.9165,0.909373843905835,0.923626156094165,0.9727,0.969506059268928,0.975893940731072,0.9885,0.986746106739458,0.990253893260542,9885,9727,9165
"CVM","Exp",1750173,10000,10,100,5,0.12,0,0.469,0.456144779195735,0.481855220804265,0.6784,0.669245028197182,0.687554971802818,0.7753,0.768434023218014,0.782165976781986,7753,6784,4690
"CVM","Exp",325555,10000,10,100,0,1.5,1,0.0096,0.00708818996570521,0.0121118100342948,0.0486,0.0443854056605173,0.0528145943394827,0.0985,0.0935980725072299,0.10340192749277,985,486,96
"CVM","Exp",19657,10000,10,100,0.5,1.5,0,0.6234,0.61091842428692,0.63588157571308,0.8025,0.794696990388318,0.810303009611682,0.8811,0.875775615257988,0.886424384742012,8811,8025,6234
"CVM","Exp",360117,10000,10,100,1,1.5,0,0.9668,0.962184877623922,0.971415122376078,0.9917,0.989921780885942,0.993478219114058,0.9969,0.995985523504963,0.997814476495037,9969,9917,9668
"CVM","Exp",358206,10000,10,100,1.5,1.5,0,0.9985,0.997503068031208,0.999496931968792,1,1,1,1,1,1,10000,10000,9985
"CVM","Exp",75824,10000,10,100,2,1.5,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"CVM","Exp",27275,10000,10,100,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",68889,10000,10,100,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
